year,month,day,event,start,end
2010,01,11,XRA,1116,1216
2010,01,11,XRA,1350,1401
2010,01,11,RSP,1413,1419
2010,01,11,XRA,1427,1448
2010,01,11,XRA,1621,1645
2010,01,12,XRA,1233,1334
2010,01,12,XRA,1733,1739
2010,01,12,RSP,1759,1800
2010,01,12,XRA,1907,214
2010,01,13,RSP,1330,1331
2010,01,13,RSP,1338,1331
2010,01,13,XRA,1459,1509
2010,01,13,XRA,1934,1940
2010,01,14,RBR,37,37
2010,01,14,RBR,39,39
2010,01,14,FLA,115,144
2010,01,14,XRA,115,126
2010,01,14,XRA,334,348
2010,01,14,FLA,338,354
2010,01,14,XRA,428,447
2010,01,14,RSP,738,738
2010,01,14,RBR,842,842
2010,01,14,RSP,1228,1229
2010,01,14,RBR,1408,1408
2010,01,14,XRA,1857,2223
2010,01,14,RSP,2046,2046
2010,01,14,RSP,2046,2047
2010,01,14,RSP,2047,2048
2010,01,14,RSP,2047,2049
2010,01,14,RSP,2217,2217
2010,01,14,RSP,2306,2306
2010,01,15,RBR,159,201
2010,01,15,RBR,436,436
2010,01,15,XRA,722,1022
2010,01,15,RBR,1417,1417
2010,01,15,RBR,1458,1458
2010,01,16,XRA,1228,1300
2010,01,16,XRA,1716,1726
2010,01,16,XRA,1827,1832
2010,01,16,XRA,2052,2100
2010,01,17,RBR,1334,1334
2010,01,17,RSP,1746,1747
2010,01,17,XRA,1938,1950
2010,01,17,XRA,2020,2030
2010,01,17,RSP,2153,2153
2010,01,17,XRA,2212,2241
2010,01,18,FLA,40,44
2010,01,18,XRA,301,405
2010,01,18,XRA,532,607
2010,01,18,RSP,647,647
2010,01,18,RSP,1211,1212
2010,01,18,RSP,1413,1414
2010,01,18,RSP,1821,1822
2010,01,18,RSP,1835,1836
2010,01,18,XRA,1954,2106
2010,01,18,XRA,2222,2228
2010,01,18,RSP,2340,2342
2010,01,18,RSP,2348,2348
2010,01,18,RSP,2350,2350
2010,01,18,RSP,2354,2354
2010,01,18,RSP,2359,2359
2010,01,19,FLA,128,132
2010,01,19,XRA,614,636
2010,01,19,XRA,703,717
2010,01,19,XRA,834,914
2010,01,19,XRA,1025,1036
2010,01,19,XRA,1303,1350
2010,01,19,XRA,1532,1543
2010,01,19,XRA,1744,1821
2010,01,19,XRA,2023,2046
2010,01,19,RSP,2031,2031
2010,01,19,XRA,2223,2240
2010,01,19,FLA,2314,2348
2010,01,19,XRA,2317,2338
2010,01,20,XRA,10,30
2010,01,20,XRA,247,302
2010,01,20,XRA,448,503
2010,01,20,XRA,610,628
2010,01,20,XRA,645,734
2010,01,20,FLA,702,735
2010,01,20,FLA,742,758
2010,01,20,XRA,742,753
2010,01,20,FLA,817,824
2010,01,20,XRA,913,941
2010,01,20,FLA,923,929
2010,01,20,XRA,1046,1110
2010,01,20,XRA,1228,1236
2010,01,20,XRA,1319,1344
2010,01,20,XRA,1429,1446
2010,01,20,XRA,1510,1528
2010,01,20,RSP,1534,1534
2010,01,20,XRA,1543,1548
2010,01,20,XRA,1710,1718
2010,01,20,XRA,1728,1735
2010,01,20,FLA,1731,1737
2010,01,20,XRA,1750,1800
2010,01,20,FLA,1753,1810
2010,01,20,RSP,1839,1840
2010,01,20,RSP,1930,1938
2010,01,20,XRA,2047,2055
2010,01,20,RSP,2053,2054
2010,01,20,XRA,2157,2253
2010,01,21,XRA,21,29
2010,01,21,RSP,102,103
2010,01,21,XRA,116,124
2010,01,21,FLA,119,125
2010,01,21,FLA,321,327
2010,01,21,XRA,349,358
2010,01,21,RSP,404,404
2010,01,21,XRA,1042,1053
2010,01,21,XRA,1653,1831
2010,01,22,XRA,257,309
2010,01,22,XRA,1048,1055
2010,01,22,XRA,1105,1118
2010,01,22,XRA,1548,1602
2010,01,22,XRA,1637,1644
2010,01,22,XRA,1707,1714
2010,01,22,XRA,2018,2025
2010,01,22,XRA,2124,2136
2010,01,22,XRA,2242,2251
2010,01,23,XRA,11,28
2010,01,23,XRA,114,124
2010,01,23,XRA,538,549
2010,01,23,XRA,632,644
2010,01,23,XRA,742,754
2010,01,23,RSP,847,848
2010,01,23,XRA,1322,1338
2010,01,23,XRA,1608,1617
2010,01,23,XRA,1651,1659
2010,01,23,XRA,2101,2111
2010,01,23,XRA,2147,2158
2010,01,24,XRA,52,110
2010,01,24,XRA,1231,1258
2010,01,24,XRA,2037,2105
2010,01,26,XRA,48,105
2010,01,26,XRA,245,300
2010,01,26,XRA,303,309
2010,01,26,XRA,1701,1708
2010,01,26,RSP,1703,1707
2010,01,26,RBR,1703,1703
2010,01,26,XRA,1740,1758
2010,01,26,XRA,2050,2107
2010,01,26,XRA,2118,2136
2010,01,26,XRA,2146,2156
2010,01,26,XRA,2252,2309
2010,01,27,XRA,12,26
2010,01,27,XRA,245,253
2010,01,27,XRA,1907,1930
2010,01,27,XRA,2216,2227
2010,01,28,XRA,642,651
2010,01,30,XRA,1717,1727
2010,01,30,FLA,2306,2311
2010,01,31,XRA,146,154
2010,01,31,FLA,151,201
2010,01,31,XRA,410,430
2010,01,31,XRA,454,509
2010,01,31,FLA,500,514
2010,01,31,RSP,609,610
2010,01,31,RSP,633,633
2010,02,01,XRA,535,601
2010,02,02,RSP,704,705
2010,02,03,XRA,418,621
2010,02,05,XRA,1328,1352
2010,02,05,XRA,1855,1910
2010,02,05,RSP,2149,2150
2010,02,05,XRA,2235,2253
2010,02,05,XRA,2308,2326
2010,02,05,XRA,2336,2341
2010,02,06,RSP,9,15
2010,02,06,XRA,125,135
2010,02,06,RSP,133,134
2010,02,06,RSP,633,651
2010,02,06,XRA,659,709
2010,02,06,RBR,702,704
2010,02,06,RBR,703,704
2010,02,06,RBR,703,704
2010,02,06,RSP,703,706
2010,02,06,XRA,822,832
2010,02,06,RSP,824,826
2010,02,06,XRA,942,948
2010,02,06,XRA,1034,1101
2010,02,06,RSP,1035,1036
2010,02,06,RBR,1241,1241
2010,02,06,RSP,1300,1601
2010,02,06,RBR,1311,1311
2010,02,06,RSP,1326,1329
2010,02,06,XRA,1401,1510
2010,02,06,XRA,1525,1549
2010,02,06,FLA,1534,1600
2010,02,06,FLA,1619,1637
2010,02,06,XRA,1806,1831
2010,02,06,XRA,1847,1909
2010,02,06,RBR,1852,1902
2010,02,06,FLA,1852,1933
2010,02,06,RSP,1853,1854
2010,02,06,RBR,1853,1855
2010,02,06,RBR,1853,1854
2010,02,06,RBR,1854,1854
2010,02,06,RBR,1854,1906
2010,02,06,RBR,1855,1855
2010,02,06,RBR,1856,1935
2010,02,06,RSP,2023,2024
2010,02,06,RBR,2100,2100
2010,02,06,RBR,2103,2103
2010,02,06,XRA,2131,2142
2010,02,06,RSP,2141,2150
2010,02,06,RBR,2147,2147
2010,02,06,RSP,2224,440
2010,02,06,XRA,2227,2233
2010,02,06,FLA,2229,2236
2010,02,06,RBR,2231,2244
2010,02,06,RBR,2231,2236
2010,02,06,XRA,2245,2319
2010,02,06,FLA,2249,2323
2010,02,06,RBR,2251,2300
2010,02,06,RBR,2253,2255
2010,02,06,RBR,2308,2325
2010,02,07,FLA,159,212
2010,02,07,XRA,220,239
2010,02,07,FLA,222,303
2010,02,07,RSP,230,241
2010,02,07,RBR,232,234
2010,02,07,RBR,232,234
2010,02,07,RBR,232,233
2010,02,07,RBR,233,233
2010,02,07,RBR,233,233
2010,02,07,RBR,233,233
2010,02,07,RBR,233,240
2010,02,07,RBR,233,234
2010,02,07,RBR,248,304
2010,02,07,RBR,249,305
2010,02,07,RBR,251,305
2010,02,07,RBR,251,253
2010,02,07,RBR,254,256
2010,02,07,RBR,254,322
2010,02,07,RBR,308,308
2010,02,07,RBR,310,322
2010,02,07,RBR,312,319
2010,02,07,XRA,325,333
2010,02,07,FLA,439,516
2010,02,07,XRA,442,454
2010,02,07,RSP,530,532
2010,02,07,RSP,530,531
2010,02,07,RSP,535,538
2010,02,07,FLA,621,635
2010,02,07,XRA,643,651
2010,02,07,FLA,647,651
2010,02,07,XRA,757,805
2010,02,07,FLA,801,809
2010,02,07,XRA,853,858
2010,02,07,XRA,918,929
2010,02,07,XRA,944,1039
2010,02,07,XRA,1333,1339
2010,02,07,RBR,1335,1335
2010,02,07,RSP,1720,1721
2010,02,07,RBR,1721,1721
2010,02,07,FLA,1833,1844
2010,02,07,XRA,1833,1840
2010,02,07,RBR,1836,1836
2010,02,07,RBR,1927,1927
2010,02,07,RBR,1930,1930
2010,02,07,RBR,1946,1946
2010,02,07,RBR,1949,1949
2010,02,07,RSP,2001,2001
2010,02,07,RSP,2028,2130
2010,02,07,RBR,2039,2039
2010,02,07,RBR,2043,2043
2010,02,07,RBR,2104,2104
2010,02,07,RBR,2107,2107
2010,02,07,XRA,2109,2119
2010,02,07,FLA,2113,2155
2010,02,07,RSP,2116,2116
2010,02,07,RSP,2125,2126
2010,02,07,RBR,2128,2128
2010,02,07,XRA,2131,2145
2010,02,07,RBR,2141,2141
2010,02,07,RSP,2143,2143
2010,02,07,RSP,2147,2147
2010,02,07,RSP,2149,2151
2010,02,07,RBR,2152,2152
2010,02,07,RSP,2154,2154
2010,02,07,RSP,2158,2159
2010,02,07,RSP,2221,2222
2010,02,07,RBR,2225,2225
2010,02,07,XRA,2228,2233
2010,02,07,RSP,2228,2232
2010,02,07,RBR,2231,2232
2010,02,07,RSP,2233,2234
2010,02,07,RSP,2243,2243
2010,02,07,RSP,2250,2251
2010,02,07,RBR,2253,2253
2010,02,07,RSP,2253,2256
2010,02,07,RBR,2256,2256
2010,02,07,RSP,2307,2308
2010,02,07,RSP,2310,2310
2010,02,07,RSP,2314,2318
2010,02,07,RBR,2318,2318
2010,02,07,RSP,2347,2352
2010,02,07,RBR,2352,2352
2010,02,07,RBR,2355,2355
2010,02,08,RSP,5,6
2010,02,08,RSP,9,9
2010,02,08,XRA,10,18
2010,02,08,RSP,11,14
2010,02,08,RBR,15,16
2010,02,08,FLA,15,22
2010,02,08,RBR,16,16
2010,02,08,RSP,56,56
2010,02,08,RSP,57,57
2010,02,08,XRA,110,116
2010,02,08,RSP,113,120
2010,02,08,RBR,117,117
2010,02,08,RBR,119,119
2010,02,08,RBR,120,123
2010,02,08,XRA,123,131
2010,02,08,FLA,129,136
2010,02,08,XRA,222,240
2010,02,08,RSP,231,232
2010,02,08,FLA,236,245
2010,02,08,XRA,246,256
2010,02,08,FLA,248,251
2010,02,08,RSP,254,256
2010,02,08,RSP,304,304
2010,02,08,XRA,308,323
2010,02,08,RBR,311,313
2010,02,08,RBR,311,312
2010,02,08,RSP,311,312
2010,02,08,RBR,313,313
2010,02,08,RSP,313,316
2010,02,08,FLA,315,336
2010,02,08,FLA,338,345
2010,02,08,XRA,352,402
2010,02,08,RSP,353,354
2010,02,08,FLA,355,402
2010,02,08,XRA,404,420
2010,02,08,RBR,411,414
2010,02,08,RBR,411,414
2010,02,08,RSP,411,416
2010,02,08,FLA,411,444
2010,02,08,RBR,412,414
2010,02,08,RBR,412,414
2010,02,08,RSP,412,414
2010,02,08,RBR,413,413
2010,02,08,RBR,413,414
2010,02,08,RBR,413,414
2010,02,08,RBR,413,413
2010,02,08,RSP,422,427
2010,02,08,RSP,459,558
2010,02,08,XRA,512,530
2010,02,08,RBR,515,515
2010,02,08,RBR,515,520
2010,02,08,RBR,515,520
2010,02,08,RBR,515,519
2010,02,08,RBR,515,519
2010,02,08,RSP,515,520
2010,02,08,FLA,516,556
2010,02,08,RBR,541,541
2010,02,08,RBR,546,546
2010,02,08,FLA,557,625
2010,02,08,XRA,559,613
2010,02,08,RBR,610,610
2010,02,08,RSP,610,610
2010,02,08,FLA,627,644
2010,02,08,RSP,656,1009
2010,02,08,XRA,659,708
2010,02,08,FLA,700,708
2010,02,08,RBR,702,702
2010,02,08,RBR,702,702
2010,02,08,RSP,702,703
2010,02,08,XRA,736,746
2010,02,08,RBR,739,743
2010,02,08,RBR,739,743
2010,02,08,RBR,739,742
2010,02,08,RBR,739,742
2010,02,08,RBR,739,741
2010,02,08,RBR,739,741
2010,02,08,RBR,739,741
2010,02,08,RBR,739,741
2010,02,08,RSP,739,743
2010,02,08,RSP,749,749
2010,02,08,XRA,803,810
2010,02,08,RBR,911,912
2010,02,08,RBR,911,911
2010,02,08,RBR,911,913
2010,02,08,RSP,911,919
2010,02,08,RBR,912,912
2010,02,08,XRA,954,1003
2010,02,08,RSP,1033,1034
2010,02,08,RBR,1033,1034
2010,02,08,RSP,1056,1059
2010,02,08,XRA,1100,1118
2010,02,08,XRA,1157,1206
2010,02,08,XRA,1332,1350
2010,02,08,XRA,1456,1515
2010,02,08,FLA,1501,1533
2010,02,08,XRA,1528,1539
2010,02,08,FLA,1535,1609
2010,02,08,XRA,1546,1556
2010,02,08,RSP,1550,1551
2010,02,08,XRA,1633,1712
2010,02,08,FLA,1655,1709
2010,02,08,XRA,1722,1735
2010,02,08,FLA,1726,1736
2010,02,08,XRA,1743,1756
2010,02,08,XRA,1803,1811
2010,02,08,FLA,1806,1825
2010,02,08,XRA,1821,1829
2010,02,08,RSP,1829,1829
2010,02,08,RSP,1830,1830
2010,02,08,FLA,1831,1850
2010,02,08,XRA,1902,1920
2010,02,08,FLA,1906,1919
2010,02,08,XRA,1934,1940
2010,02,08,XRA,2001,2009
2010,02,08,XRA,2101,2128
2010,02,08,RSP,2117,2117
2010,02,08,FLA,2121,2140
2010,02,08,XRA,2153,2201
2010,02,08,FLA,2155,2205
2010,02,08,XRA,2234,2244
2010,02,09,XRA,13,54
2010,02,09,RSP,103,104
2010,02,09,XRA,113,134
2010,02,09,FLA,119,144
2010,02,09,RSP,224,224
2010,02,09,XRA,404,422
2010,02,09,FLA,412,430
2010,02,09,RSP,534,540
2010,02,09,RSP,717,717
2010,02,09,XRA,744,750
2010,02,09,FLA,816,820
2010,02,09,XRA,844,854
2010,02,09,FLA,847,856
2010,02,09,RSP,939,941
2010,02,09,XRA,1024,1046
2010,02,09,XRA,1124,1139
2010,02,09,XRA,1737,1748
2010,02,10,RSP,12,14
2010,02,10,XRA,23,28
2010,02,10,RSP,31,34
2010,02,10,RSP,146,146
2010,02,10,XRA,215,225
2010,02,10,RSP,426,429
2010,02,10,RSP,508,509
2010,02,10,RSP,508,510
2010,02,10,RSP,550,554
2010,02,10,XRA,556,602
2010,02,10,XRA,611,617
2010,02,10,FLA,613,618
2010,02,10,RSP,622,622
2010,02,10,XRA,703,715
2010,02,10,FLA,710,715
2010,02,10,RSP,713,713
2010,02,10,XRA,716,721
2010,02,10,RSP,723,730
2010,02,10,RSP,753,755
2010,02,10,XRA,808,817
2010,02,10,RSP,846,850
2010,02,10,RSP,1113,1113
2010,02,10,XRA,1143,1156
2010,02,10,XRA,1143,1156
2010,02,10,RSP,1203,1204
2010,02,10,RSP,1238,1240
2010,02,10,RSP,1248,1255
2010,02,10,RSP,1353,1354
2010,02,10,RSP,1423,1424
2010,02,10,XRA,1458,1509
2010,02,10,FLA,1505,1528
2010,02,10,XRA,1510,1519
2010,02,10,FLA,1511,1521
2010,02,10,RSP,1732,1732
2010,02,10,RBR,1733,1733
2010,02,10,RSP,1733,1733
2010,02,10,RBR,1736,1736
2010,02,10,RSP,1836,1837
2010,02,10,RSP,1902,1902
2010,02,10,RSP,2127,2127
2010,02,10,RSP,2131,2132
2010,02,10,RSP,2158,2158
2010,02,10,XRA,2203,2216
2010,02,10,RBR,2211,2211
2010,02,10,RSP,2212,2214
2010,02,10,RSP,2214,2214
2010,02,10,RSP,2226,2226
2010,02,10,RSP,2234,2234
2010,02,10,XRA,2312,2318
2010,02,10,RSP,2325,2335
2010,02,10,RSP,2325,2330
2010,02,10,RBR,2335,2335
2010,02,10,RSP,2335,2335
2010,02,10,RBR,2338,2338
2010,02,11,RSP,0,0
2010,02,11,RSP,2,2
2010,02,11,RSP,14,15
2010,02,11,RSP,118,119
2010,02,11,RSP,119,120
2010,02,11,XRA,148,153
2010,02,11,FLA,150,155
2010,02,11,RSP,315,315
2010,02,11,RSP,316,320
2010,02,11,RSP,353,355
2010,02,11,RSP,553,600
2010,02,11,XRA,557,627
2010,02,11,RSP,736,737
2010,02,11,RSP,740,740
2010,02,11,RSP,751,751
2010,02,11,RSP,816,819
2010,02,11,RSP,958,958
2010,02,11,RSP,1157,1158
2010,02,11,RSP,1308,1309
2010,02,11,RSP,1412,1419
2010,02,11,RBR,1416,1418
2010,02,11,XRA,1430,1442
2010,02,11,XRA,1508,1516
2010,02,11,FLA,1511,1519
2010,02,11,XRA,1700,1709
2010,02,11,XRA,1920,2001
2010,02,11,FLA,1930,1951
2010,02,11,RSP,1930,1930
2010,02,11,RSP,2013,2013
2010,02,11,RSP,2014,2014
2010,02,11,RSP,2100,2108
2010,02,11,RSP,2103,2107
2010,02,11,XRA,2202,2210
2010,02,11,RSP,2224,2224
2010,02,11,RBR,2308,2308
2010,02,11,RSP,2325,2325
2010,02,12,RSP,47,56
2010,02,12,RSP,211,216
2010,02,12,XRA,354,401
2010,02,12,RSP,401,402
2010,02,12,RSP,402,402
2010,02,12,RSP,453,517
2010,02,12,RSP,606,607
2010,02,12,RBR,612,612
2010,02,12,RBR,613,613
2010,02,12,RSP,718,727
2010,02,12,XRA,718,728
2010,02,12,RBR,721,725
2010,02,12,RSP,721,726
2010,02,12,RBR,722,725
2010,02,12,FLA,722,737
2010,02,12,RBR,723,723
2010,02,12,RBR,723,724
2010,02,12,RBR,723,723
2010,02,12,RBR,723,723
2010,02,12,RBR,740,744
2010,02,12,RBR,920,920
2010,02,12,RBR,937,937
2010,02,12,RSP,937,942
2010,02,12,XRA,938,945
2010,02,12,RBR,940,942
2010,02,12,RBR,940,941
2010,02,12,RBR,940,945
2010,02,12,FLA,941,949
2010,02,12,XRA,1119,1128
2010,02,12,RBR,1125,1126
2010,02,12,RBR,1125,1126
2010,02,12,RBR,1125,1126
2010,02,12,RBR,1125,1126
2010,02,12,RSP,1125,1131
2010,02,12,RBR,1125,1132
2010,02,12,RBR,1125,1132
2010,02,12,RBR,1125,1127
2010,02,12,FLA,1127,1140
2010,02,12,RBR,1159,1228
2010,02,12,RBR,1201,1305
2010,02,12,RBR,1203,1212
2010,02,12,XRA,1242,1249
2010,02,12,RSP,1304,1304
2010,02,12,RSP,1453,1453
2010,02,12,XRA,1525,1532
2010,02,12,XRA,1546,1554
2010,02,12,RSP,1657,1705
2010,02,12,RSP,1743,1745
2010,02,12,XRA,1752,1815
2010,02,12,FLA,1759,1841
2010,02,12,RSP,1834,1835
2010,02,12,RSP,1858,1907
2010,02,12,XRA,2046,2055
2010,02,12,FLA,2049,2059
2010,02,12,RSP,2149,2159
2010,02,12,XRA,2233,2244
2010,02,12,FLA,2237,2254
2010,02,12,RSP,2244,2244
2010,02,12,FLA,2355,31
2010,02,13,XRA,139,149
2010,02,13,RBR,142,142
2010,02,13,RSP,142,151
2010,02,13,FLA,143,147
2010,02,13,XRA,239,329
2010,02,13,RSP,244,244
2010,02,13,RNS,700,1200
2010,02,13,XRA,746,806
2010,02,13,RBR,1020,1020
2010,02,13,RSP,1020,1021
2010,02,13,RBR,1021,1021
2010,02,13,RSP,1040,1040
2010,02,13,RBR,1049,1049
2010,02,13,RSP,1103,1103
2010,02,13,XRA,1228,1248
2010,02,13,RSP,1240,1250
2010,02,13,RSP,1510,1511
2010,02,13,RSP,1634,1634
2010,02,13,XRA,1812,1821
2010,02,13,XRA,1958,2008
2010,02,13,RSP,1959,1959
2010,02,13,FLA,2001,2009
2010,02,13,RBR,2004,2005
2010,02,13,XRA,2042,2105
2010,02,13,RBR,2133,2133
2010,02,13,RSP,2216,2216
2010,02,13,XRA,2324,2333
2010,02,13,FLA,2328,2336
2010,02,13,RBR,2331,2333
2010,02,14,RSP,202,202
2010,02,14,RSP,224,225
2010,02,14,RSP,337,340
2010,02,14,RSP,504,504
2010,02,14,RSP,700,701
2010,02,14,RNS,700,1200
2010,02,14,RSP,725,740
2010,02,14,XRA,852,909
2010,02,14,RSP,907,908
2010,02,14,RSP,1121,1122
2010,02,14,XRA,1149,1218
2010,02,14,XRA,2007,2023
2010,02,14,XRA,2133,2141
2010,02,14,RSP,2308,2308
2010,02,15,XRA,105,134
2010,02,15,RSP,849,853
2010,02,15,XRA,1030,1036
2010,02,15,XRA,1042,1055
2010,02,15,XRA,1530,1556
2010,02,15,RSP,1657,1700
2010,02,15,XRA,1735,1744
2010,02,15,RSP,1815,1815
2010,02,15,RSP,1825,1826
2010,02,15,RSP,1915,1915
2010,02,15,RSP,2123,2125
2010,02,15,RSP,2126,2126
2010,02,15,RSP,2127,2127
2010,02,15,RSP,2220,2220
2010,02,16,RSP,6,7
2010,02,16,RSP,30,30
2010,02,16,RSP,31,31
2010,02,16,RSP,44,44
2010,02,16,RSP,233,237
2010,02,16,RSP,233,235
2010,02,16,RSP,237,238
2010,02,16,XRA,348,432
2010,02,16,RSP,1411,1412
2010,02,16,RSP,1452,1500
2010,02,16,RSP,1907,1913
2010,02,17,XRA,647,702
2010,02,17,XRA,729,755
2010,02,17,RSP,1208,1208
2010,02,17,RSP,1226,1226
2010,02,17,XRA,2028,2035
2010,02,17,XRA,2341,2352
2010,02,18,XRA,50,105
2010,02,18,RSP,702,702
2010,02,18,XRA,1132,1145
2010,02,18,RSP,1224,1224
2010,02,18,RSP,1356,1356
2010,02,18,RSP,1723,1726
2010,02,18,RSP,1826,1826
2010,02,18,RSP,1827,1827
2010,02,18,RSP,1903,1904
2010,02,18,RSP,2023,2024
2010,02,19,XRA,905,933
2010,02,20,XRA,915,927
2010,02,21,XRA,150,201
2010,02,21,XRA,1112,1226
2010,02,21,XRA,1540,1641
2010,02,22,XRA,1313,1332
2010,02,22,XRA,1827,1839
2010,02,22,XRA,2132,2156
2010,02,22,XRA,2256,2304
2010,02,23,DSF,2352,1553
2010,02,23,XRA,2356,9
2010,02,24,XRA,156,209
2010,02,24,XRA,218,226
2010,02,24,XRA,1828,1835
2010,02,24,DSF,2352,1553
2010,02,25,RSP,810,810
2010,02,25,RSP,855,903
2010,02,25,RSP,1413,1417
2010,02,25,RBR,1415,1415
2010,02,25,RBR,1415,1417
2010,02,25,RSP,2014,2015
2010,02,25,RBR,2015,2016
2010,02,25,RBR,2019,2020
2010,02,25,RSP,2053,2053
2010,02,25,RSP,2054,2054
2010,02,26,RSP,202,202
2010,02,26,RSP,203,203
2010,02,26,XRA,1223,1232
2010,02,26,RSP,1830,1830
2010,02,26,RSP,1831,1831
2010,02,26,RSP,1941,1942
2010,02,27,RSP,908,908
2010,02,27,RSP,1455,1456
2010,02,27,RSP,1552,1556
2010,02,27,RBR,1605,1606
2010,02,27,RSP,1703,1705
2010,02,27,XRA,1924,1934
2010,02,27,XRA,2220,2226
2010,02,28,RSP,241,245
2010,02,28,RSP,808,812
2010,02,28,RSP,909,909
2010,02,28,RSP,1010,1018
2010,02,28,RSP,1249,1249
2010,02,28,RSP,2111,2111
2010,02,28,RSP,2145,2145
2010,02,28,RSP,2225,2231
2010,02,28,XRA,2336,2346
2010,03,01,RSP,320,321
2010,03,01,XRA,2226,23
2010,03,02,RSP,1945,1945
2010,03,02,RSP,2017,2017
2010,03,02,RSP,2018,2018
2010,03,04,XRA,328,342
2010,03,04,XRA,410,422
2010,03,04,XRA,501,523
2010,03,04,XRA,557,606
2010,03,04,XRA,800,814
2010,03,04,XRA,1203,1223
2010,03,04,XRA,1328,1333
2010,03,04,RBR,1330,1331
2010,03,04,RSP,1330,1337
2010,03,04,XRA,1603,1616
2010,03,04,XRA,1744,1807
2010,03,04,XRA,2059,2113
2010,03,04,XRA,2131,2145
2010,03,04,FLA,2134,2138
2010,03,04,XRA,2329,40
2010,03,05,XRA,1250,1303
2010,03,06,XRA,103,110
2010,03,06,FLA,107,109
2010,03,06,DSF,521,656
2010,03,06,XRA,733,925
2010,03,06,XRA,1434,1443
2010,03,06,XRA,1457,1510
2010,03,06,XRA,2107,2120
2010,03,07,XRA,46,102
2010,03,07,XRA,222,232
2010,03,07,XRA,433,454
2010,03,10,XRA,610,747
2010,03,10,XRA,1529,1541
2010,03,11,XRA,419,427
2010,03,11,XRA,1218,1228
2010,03,11,XRA,1650,1657
2010,03,11,XRA,1714,1724
2010,03,11,XRA,1741,1750
2010,03,11,XRA,2008,2027
2010,03,11,XRA,2033,2046
2010,03,11,FLA,2038,2042
2010,03,11,XRA,2052,2056
2010,03,11,XRA,2148,2200
2010,03,12,XRA,2,11
2010,03,12,RSP,417,417
2010,03,12,XRA,1102,1115
2010,03,12,XRA,1317,1331
2010,03,12,XRA,1342,1351
2010,03,12,XRA,1447,1503
2010,03,12,XRA,1524,1536
2010,03,12,XRA,1624,1639
2010,03,12,XRA,1802,1845
2010,03,12,FLA,1815,1847
2010,03,13,XRA,231,314
2010,03,13,FLA,259,303
2010,03,13,XRA,947,959
2010,03,13,XRA,959,1007
2010,03,13,XRA,1545,1601
2010,03,13,EPL,1635,1653
2010,03,13,XRA,1914,1920
2010,03,13,XRA,2017,2025
2010,03,13,XRA,2335,23
2010,03,13,FLA,2336,33
2010,03,14,RSP,0,327
